inscription_id,source_corpus,provenance_source_url,site_find_place,region,object_type,support_material,classification,formula_class,inscription_length,line_count,sign_count,word_count,sign_inventory_used,estimated_date_period,find_context,libation_formula_candidate,accounting_candidate,ideogram_presence,numeral_presence,damage_unreadability_level,confidence_provenance_notes
HT 44,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,15,9,15,15,F FIC[ GRA I KI OLE OLIV QA RA TE U VINA[ ]FIC ]OLE,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 44A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2044a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,3,1,3,3,AB118 AB16 AB28,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 44B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2044b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,1,1,1,1,AB57?,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 45,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,4,1,4,4,PU QA RE [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.2500,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 45A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2045a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,1,1,1,1,AB03,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 45B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2045b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,4,2,4,4,AB02 AB08 AB81 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.2500,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 46,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,administrative,total_formula_candidate,4,2,4,4,RO RU ]KU ]MU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,1,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 46A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2046a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,4,2,4,4,AB02 AB23 AB26 AB81,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 47,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,16,6,16,16,DA DESUNT KI KU MI NA NU PA3 RE[ RO TU ]RA ]TU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 47A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2047a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,14,7,14,14,AB01 AB02 AB06 AB10 AB39 AB51 AB55 AB56 AB67 AB69 AB73 AB77 AB81,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 47B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2047b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,3,1,3,3,AB06 AB27 AB60,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 49,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,16,6,16,16,A DU KU NA NI NU PA3 PU2 RA RU SI SU TA TI TU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 49A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2049a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,24,10,24,24,AB06 AB08 AB26 AB29 AB30 AB37 AB41 AB51 AB53 AB55 AB56 AB58 AB59 AB60 AB67? AB69 AB76 AB81 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.1250,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 49B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2049b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,4,4,4,4,AB28 AB59 AB77 AB81,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 5,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%205/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,10,5,10,10,A307 AB40 AB41 AB51 AB80 DU MA SI WI [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.1000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 50,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,administrative,commodity_accounting,14,8,14,14,DI[ E KI KI[ MI OLE OLIV TU ]GRA[ ]OLE ]OLIV,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,1,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 51,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,9,4,9,9,DU FIC ME NI[ TA TE TI ZU ]KU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 51A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2051a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,4,2,4,4,AB27 AB30 AB37 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.2500,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 51B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2051b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,6,3,6,6,AB13 AB41 AB51 AB59 AB79 AB81,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 52,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,7,4,7,7,DESUNT DI GRA KA KI MA SA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 52A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2052a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,5,2,5,5,AB07 AB31 AB69 AB77 AB80,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 52B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2052b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,1,1,1,1,AB24,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 53A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2053a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,3,2,3,3,AB24 AB31 AB60,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 53B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2053b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,AB27 AB81,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 54,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,7,2,7,7,KI MI NA QE[ RA2 ]KU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 54A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2054a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,9,4,9,9,AB06 AB67 AB73 AB76 AB78 AB81 [?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.2222,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 54B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2054b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,1,1,1,1,AB67,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 55,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,8,4,8,8,JA KI MA RE RO RU SI ]RI,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 55A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2055a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,8,5,8,8,AB02 AB24 AB26 AB27 AB41 AB67 AB69 AB80,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 55B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2055b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,5,4,5,5,AB04 AB28 AB53 AB57 AB78,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 56,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,KI ]OLE,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 56A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2056a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,2,2,2,2,AB10 AB31,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 57,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,3,1,3,3,DA QE RA[,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 57A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2057a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,4,2,4,4,AB01 AB08 AB60 AB78,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 58,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2058/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,18,8,18,18,AB10 AB37 AB51 AB60 AB78 DU E KI MI[ OLE OLIV QE RA TI U ]OLE ]U,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 6,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,46,17,46,46,DA DI DU FIC I JA KA KI MA MI NA NE NI O PA PA3 PI QE RA RA2 RI RU SA SE TA TE TI WA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 60,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,administrative,commodity_accounting,10,5,10,10,OLE PU QA RE RI VINA [?] ]OLE,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,1,1,0,0.2000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 61,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2061/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,6,3,6,6,AB37 AB73 GRA KU MI TI,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 62 73,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2062%2B73/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,35,17,35,35,AB02 AB03 AB06 AB100 AB28 AB28B AB31 AB37 AB55 AB60 AB67 AB70 AB77 AB78 AB81 GRA I KA KI[ KU PA QE[ RA RO SA TE VINA [?] ]SA ]VIR[,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.1143,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 63,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2063/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,9,5,9,9,AB29 AB37 AB58 AB77 AB79 KA PU2[ SU TI,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 64,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2064/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,12,6,12,12,AB06 AB26 AB79 AB80 AB81 CAPM MA[ NA[ RU ZU ]KU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 66,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2066/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,9,6,9,9,AB07 AB27 AB59 AB73 MI[ VIR ZU ]TA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 67,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,administrative,commodity_accounting,4,2,4,4,FIC RO TE ]KU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,1,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 68,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2068/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,2,2,2,2,AB65 VIR[,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 69,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2069/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,4,2,4,4,AB07 AB80 DI ]MA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 6A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%206a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,24,9,24,24,A321 A717 AB01 AB03 AB07 AB24 AB39 AB57 AB59 AB60 AB61 AB76 AB77 AB78 AB80,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 6B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%206b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,17,6,17,17,AB01 AB06 AB09 AB30 AB31 AB37 AB51 AB51? AB54 AB56 AB60 AB67 AB73 AB80,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 7,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,20,9,20,20,DA DU I JA NA NE QE QIF RE RU TA TE TI TU VIR,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 70,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2070/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,unclassified,7,3,7,7,AB118 AB16 AB31 FIC SA TE ]QA,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 72,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2072/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,[?],Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,1.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 74,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2074/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,4,2,4,4,AB02 AB81 RO ]KU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 75,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2075/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,4,2,4,4,AB26 AB77 KA RU[,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 78,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2078/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,2,1,2,2,A312 AB23,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 79 83,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2079%2B83/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,17,9,17,17,AB01 AB03 AB28? AB30 AB53 AB56 AB69 AB77 AB79 AB81 DA NI[ PA PA3[ RI ]KU ]TU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 7A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%207a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,14,6,14,14,AB01 AB04 AB06 AB26 AB27 AB28 AB37 AB51 AB57 AB59 AB69 AB78,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 7B,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%207b/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,a_series_sequence,6,2,6,6,A329 AB01 AB21F AB24 AB26 AB69,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 8,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,24,9,24,24,DI I JA JE KA KI NA OLE PA PA3 PU2 QA RA RE SI SU TA TI,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 80,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2080/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,4,2,4,4,AB60 AB65 RA[ ]JU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 81,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2081/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,14,6,14,14,A AB08 AB09 AB53 AB58 AB67 AB80 JA MA MI RU SE SU ]RI,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 82,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,administrative,commodity_accounting,3,1,3,3,F GRA OVIS,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,1,1,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 84,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2084/index-word.html; https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,11,5,11,11,AB21F AB37 AB51 AB55 AB57 DU JA QIF TI VIR[ ]NU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 85,local_merged_sigla_younger_internal,https://web.archive.org/web/20190416193018/http://www.people.ku.edu/~jyounger/LinearA/HTtexts.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,44,18,44,44,A DA DI DU I JA KA KE KI KU MA ME MI NI PA3 QA QE RA RE RI RO[ SE SI TA2 TE TU[ U WA ZA ZU,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
HT 85A,local_merged_sigla_younger_internal,http://sigla.phis.me/document/HT%2085a/index-word.html,HT,crete_central,administrative_tablet_like,clay_or_object_unknown,unknown,short_mark_or_label,22,9,22,22,A325 AB01 AB02 AB04 AB08 AB10 AB118 AB17 AB27 AB30 AB41 AB44 AB51 AB53 AB56 AB79 AB81,Bronze_Age_Linear_A_period_unverified,requires_source_metadata_review,0,0,0,0,0.0000,Inferred from artifact ID and normalized sequence; needs expert metadata enrichment.
